,State,Vote for NDP,Vote for UPA,Vote for Other,Answer.voteConfidence,Answer.ndaPercent,Answer.upaPercent,Answer.otherPercent
0,12,0.0,0.0,1.0,56.0,40.0,34.0,30.0
1,13,0.0,1.0,0.0,76.5,17.5,83.0,7.0
2,14,0.0,0.0,1.0,1.0,41.0,44.0,51.0
3,24,0.3333333333333333,0.6666666666666666,0.0,79.5,52.0,65.16666666666667,38.166666666666664
